epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.07561,1.25137,1.89528,1.37597,0.63721,0.62483,0.67555,0.50584,1.01269,1.00129,1.09552,3.90469e-05,3.90469e-05,3.90469e-05
2,17.5297,1.25897,1.56,1.30569,0.66423,0.64108,0.6968,0.53361,0.99868,0.94762,1.09116,7.79343e-05,7.79343e-05,7.79343e-05
3,26.1793,1.24188,1.57608,1.29964,0.72481,0.62451,0.70291,0.53994,1.00174,0.93364,1.09407,0.000116036,0.000116036,0.000116036
4,34.2313,1.23548,1.50501,1.31438,0.67245,0.65452,0.70462,0.54268,0.99999,0.94161,1.09253,0.000115466,0.000115466,0.000115466
5,42.1691,1.19807,1.44571,1.2717,0.67634,0.66356,0.70483,0.54011,0.98515,0.94799,1.08516,0.000114288,0.000114288,0.000114288
6,50.6193,1.16549,1.28859,1.23812,0.76915,0.61392,0.71801,0.5505,0.98068,0.92426,1.08017,0.00011311,0.00011311,0.00011311
7,58.9424,1.17439,1.3306,1.27142,0.77919,0.61384,0.72051,0.55024,0.97271,0.92235,1.07313,0.000111931,0.000111931,0.000111931
8,67.204,1.14901,1.29915,1.24307,0.78279,0.63109,0.72913,0.5551,0.9741,0.89021,1.06705,0.000110753,0.000110753,0.000110753
9,75.3379,1.1669,1.37876,1.2466,0.79628,0.60536,0.72867,0.55491,0.96491,0.86777,1.06156,0.000109575,0.000109575,0.000109575
10,83.3652,1.18132,1.33142,1.28074,0.81442,0.62629,0.73915,0.56151,0.96177,0.84983,1.06092,0.000108397,0.000108397,0.000108397
11,91.2585,1.14267,1.27334,1.23349,0.70546,0.69658,0.74378,0.56518,0.95564,0.84299,1.06036,0.000107219,0.000107219,0.000107219
12,99.2931,1.13313,1.18276,1.23368,0.75778,0.6682,0.74948,0.56759,0.95555,0.84886,1.06141,0.000106041,0.000106041,0.000106041
13,107.671,1.08202,1.14426,1.22166,0.81689,0.6182,0.75091,0.57263,0.94916,0.86218,1.05964,0.000104863,0.000104863,0.000104863
14,115.979,1.17954,1.21696,1.25838,0.70099,0.69565,0.75107,0.57687,0.94702,0.85716,1.05894,0.000103685,0.000103685,0.000103685
15,124.59,1.073,1.11252,1.19915,0.75063,0.66763,0.75453,0.57946,0.95063,0.85573,1.05776,0.000102507,0.000102507,0.000102507
16,133.297,1.10295,1.12223,1.22064,0.8808,0.59303,0.76336,0.58225,0.94368,0.83084,1.05206,0.000101329,0.000101329,0.000101329
17,141.653,1.05489,1.0524,1.18744,0.78946,0.64933,0.77397,0.59114,0.92884,0.81403,1.047,0.00010015,0.00010015,0.00010015
18,150.098,1.07512,1.14549,1.20361,0.84197,0.62066,0.77863,0.59567,0.91736,0.78379,1.0418,9.89723e-05,9.89723e-05,9.89723e-05
19,158.996,1.01092,1.01891,1.15708,0.81452,0.64234,0.78679,0.60211,0.91864,0.77876,1.04154,9.77942e-05,9.77942e-05,9.77942e-05
20,167.517,1.07796,1.08249,1.1807,0.73737,0.69763,0.78411,0.60149,0.91933,0.76664,1.04441,9.66161e-05,9.66161e-05,9.66161e-05
21,176.278,1.10503,1.04658,1.22536,0.72543,0.72883,0.78847,0.6049,0.92308,0.77001,1.04474,9.5438e-05,9.5438e-05,9.5438e-05
22,184.82,1.03491,1.04142,1.18008,0.79647,0.68311,0.78952,0.60318,0.92337,0.77033,1.04261,9.42599e-05,9.42599e-05,9.42599e-05
23,193.249,1.07623,1.04978,1.21014,0.80564,0.68929,0.78841,0.60636,0.91497,0.7497,1.03685,9.30818e-05,9.30818e-05,9.30818e-05
24,201.769,1.04514,1.06014,1.18358,0.81283,0.68697,0.79085,0.61077,0.9059,0.74347,1.03333,9.19037e-05,9.19037e-05,9.19037e-05
25,210.246,0.9824,0.97302,1.15891,0.82249,0.6908,0.79043,0.61241,0.90335,0.74742,1.03027,9.07256e-05,9.07256e-05,9.07256e-05
26,218.809,0.97971,0.99142,1.16113,0.81106,0.69753,0.78919,0.61347,0.89521,0.73762,1.02494,8.95475e-05,8.95475e-05,8.95475e-05
27,227.285,0.96834,1.00297,1.16735,0.73898,0.76648,0.8023,0.62216,0.89183,0.726,1.01855,8.83694e-05,8.83694e-05,8.83694e-05
