epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8778,1.80833,2.76686,1.30863,0.45747,0.39426,0.37091,0.17475,1.85961,2.47422,1.3906,0.000553021,0.000553021,0.000553021
2,128.256,1.91915,2.13864,1.37423,0.383,0.45748,0.27293,0.11053,1.98312,2.44444,1.40893,0.00108674,0.00108674,0.00108674
3,195.478,1.90781,1.9246,1.36011,0.53142,0.43233,0.41892,0.19609,1.87271,1.88616,1.3667,0.00159845,0.00159845,0.00159845
4,259.803,1.88779,1.82201,1.35689,0.64645,0.49543,0.55824,0.31901,1.75359,1.7548,1.29432,0.00156798,0.00156798,0.00156798
5,324.468,1.842,1.76054,1.3484,0.51445,0.4606,0.48444,0.26832,1.8334,1.85381,1.31143,0.00153497,0.00153497,0.00153497
6,387.68,1.789,1.61369,1.30316,0.71172,0.53258,0.60036,0.32218,1.725,1.57986,1.28925,0.00150197,0.00150197,0.00150197
7,451.101,1.72774,1.59796,1.29101,0.55563,0.56747,0.58537,0.32835,1.71408,1.57694,1.27244,0.00146896,0.00146896,0.00146896
8,514.342,1.71607,1.5394,1.27118,0.65645,0.50142,0.61105,0.35228,1.6951,1.58692,1.24936,0.00143595,0.00143595,0.00143595
9,577.693,1.69398,1.50816,1.27228,0.6331,0.53523,0.55819,0.28861,1.74816,1.63112,1.29251,0.00140295,0.00140295,0.00140295
10,641.157,1.66676,1.48812,1.24557,0.70356,0.61177,0.69724,0.4411,1.57625,1.33582,1.17337,0.00136994,0.00136994,0.00136994
11,704.835,1.63212,1.4266,1.2414,0.59232,0.65927,0.65074,0.39226,1.5737,1.41004,1.19273,0.00133693,0.00133693,0.00133693
12,768.221,1.62712,1.43816,1.23246,0.71704,0.60734,0.66367,0.35121,1.63741,1.3776,1.23996,0.00130393,0.00130393,0.00130393
13,831.64,1.61207,1.36662,1.20509,0.67538,0.68384,0.71791,0.45498,1.52847,1.28263,1.14335,0.00127092,0.00127092,0.00127092
14,894.962,1.61678,1.38519,1.21226,0.76035,0.63702,0.71169,0.44571,1.53048,1.29004,1.1524,0.00123791,0.00123791,0.00123791
15,958.412,1.56995,1.34179,1.19558,0.68124,0.67379,0.68947,0.42547,1.52886,1.27962,1.13428,0.00120491,0.00120491,0.00120491
16,1022.3,1.56754,1.31245,1.19855,0.77843,0.68566,0.7472,0.47465,1.48041,1.19657,1.1226,0.0011719,0.0011719,0.0011719
17,1084.9,1.54392,1.28894,1.18479,0.75276,0.62203,0.68018,0.43687,1.4966,1.24099,1.14122,0.00113889,0.00113889,0.00113889
18,1149.27,1.55879,1.272,1.17662,0.74848,0.64407,0.73031,0.48868,1.47262,1.24546,1.11339,0.00110589,0.00110589,0.00110589
19,1212.85,1.53341,1.24104,1.16725,0.77622,0.68422,0.75832,0.49694,1.46876,1.18167,1.11908,0.00107288,0.00107288,0.00107288
20,1276.49,1.51204,1.23051,1.16291,0.79084,0.69998,0.76529,0.51616,1.40999,1.18814,1.07965,0.00103987,0.00103987,0.00103987
21,1339.29,1.48946,1.22882,1.15763,0.80471,0.68216,0.75478,0.51251,1.4458,1.16171,1.1034,0.00100687,0.00100687,0.00100687
22,1402.65,1.50546,1.23019,1.16164,0.74585,0.6192,0.69686,0.46799,1.47812,1.28388,1.10172,0.000973861,0.000973861,0.000973861
23,1466.6,1.50722,1.21138,1.16418,0.80293,0.66365,0.76337,0.52708,1.39619,1.14359,1.08392,0.000940855,0.000940855,0.000940855
24,1529.81,1.47788,1.19721,1.15587,0.79289,0.62905,0.72996,0.49535,1.42503,1.133,1.09539,0.000907848,0.000907848,0.000907848
25,1593.33,1.45781,1.1619,1.15157,0.74806,0.6904,0.74852,0.50004,1.43332,1.10815,1.09722,0.000874842,0.000874842,0.000874842
26,1656.2,1.47465,1.18602,1.14554,0.78644,0.69341,0.7587,0.48877,1.40157,1.08018,1.07623,0.000841835,0.000841835,0.000841835
27,1719.37,1.42545,1.12506,1.13028,0.79956,0.68836,0.7839,0.53775,1.38241,1.07127,1.06024,0.000808828,0.000808828,0.000808828
28,1782.46,1.44295,1.13555,1.13345,0.76482,0.69917,0.77764,0.50613,1.40204,1.08119,1.07846,0.000775822,0.000775822,0.000775822
29,1845.77,1.44927,1.12998,1.13297,0.80113,0.70181,0.78945,0.54194,1.37401,1.04221,1.05903,0.000742815,0.000742815,0.000742815
30,1908.91,1.42976,1.12892,1.12088,0.81549,0.73886,0.79038,0.54609,1.3813,1.05488,1.07046,0.000709809,0.000709809,0.000709809
31,1978.69,1.41376,1.07894,1.12396,0.83779,0.7252,0.79643,0.51902,1.4011,1.03189,1.07865,0.000676802,0.000676802,0.000676802
32,2044.08,1.40117,1.08187,1.11096,0.8148,0.72534,0.79672,0.54172,1.37326,1.01935,1.0615,0.000643795,0.000643795,0.000643795
33,2105.65,1.4084,1.08911,1.12215,0.78455,0.75584,0.78828,0.52794,1.36316,1.02346,1.07149,0.000610789,0.000610789,0.000610789
34,2163.56,1.39138,1.07393,1.1105,0.79825,0.75198,0.80797,0.54957,1.34446,1.01812,1.05181,0.000577782,0.000577782,0.000577782
